"Record_Count","Account","Rule_Name"
"64197","mxw_chi@preventure.com","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')"
"0","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_deployment+umaster@preventure.com"
"1","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_deployment+umaster@preventure.com"
"19","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_deployment+umaster@preventure.com"
"6904","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_cmx@preventure.com"
"21904","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_cmx@preventure.com"
"49949","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_cmx@preventure.com"
"15","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_bosch@preventure.com"
"22177","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_bosch@preventure.com"
"2868","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_bosch@preventure.com"
"38","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_roundys@preventure.com"
"7411","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_roundys@preventure.com"
"1404","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_roundys@preventure.com"
"16","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_aaa@preventure.com"
"3583","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_aaa@preventure.com"
"2017","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_aaa@preventure.com"
"96","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_aiy@preventure.com"
"5217","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_aiy@preventure.com"
"2400","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_aiy@preventure.com"
"110","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_cgb@preventure.com"
"3127","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_cgb@preventure.com"
"1612","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_cgb@preventure.com"
"64197","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_chi@preventure.com"
"94","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_chi@preventure.com"
"174811","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_chi@preventure.com"
"49","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_crw@preventure.com"
"4744","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_crw@preventure.com"
"3237","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_crw@preventure.com"
"5839","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_wfi@preventure.com"
"5584","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_wfi@preventure.com"
"6220","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_wfi@preventure.com"
"0","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_goldmaster@preventure.com"
"1","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_goldmaster@preventure.com"
"0","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_goldmaster@preventure.com"
"22","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_hmh@preventure.com"
"4543","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_hmh@preventure.com"
"1984","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_hmh@preventure.com"
"116","SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","mxw_integration@preventure.com.uat1"
"864","SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","mxw_integration@preventure.com.uat1"
"34","SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","mxw_integration@preventure.com.uat1""Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","0","mxw_deployment+umaster@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","1","mxw_deployment+umaster@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Inactive FROM Contact where mxw__Is_Active__c = false","19","mxw_deployment+umaster@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) IsActive_Status_Not_Active FROM Contact where (mxw__Is_Active__c = true and Status__c != 'Active') OR (mxw__Is_Active__c = false and Status__c = 'Active')","6904","mxw_cmx@preventure.com"
"Rule_Name","Record_Count","Account"
"SELECT COUNT(SFDCID__C) Active FROM Contact where mxw__Is_Active__c = true","21904","mxw_cmx@preventure.com"
